a,l
"ሀ","ha"
"ሁ","hu"
"ሂ","hi"
"ሃ","hā"
"ሄ","hé"
"ህ","h"
"ሆ","ho"
"ለ","la"
"ሉ","lu"
"ሊ","li"
"ላ","lā"
"ሌ","lé"
"ል","l"
"ሎ","lo"
"ሏ","lwa"
"ሐ","ḥa"
"ሑ","ḥu"
"ሒ","ḥi"
"ሓ","ḥā"
"ሔ","ḥé"
"ሕ","ḥ"
"ሖ","ḥo"
"ሗ","hwa"
"መ","ma"
"ሙ","mu"
"ሚ","mi"
"ማ","mā"
"ሜ","mé"
"ም","m"
"ሞ","mo"
"ሟ","mwa"
"ሠ","śa"
"ሡ","śu"
"ሢ","śi"
"ሣ","śā"
"ሤ","śé"
"ሥ","ś"
"ሦ","śo"
"ሧ","śwa"
"ረ","ra"
"ሩ","ru"
"ሪ","ri"
"ራ","rā"
"ሬ","ré"
"ር","r"
"ሮ","ro"
"ሯ","rwa"
"ሰ","sa"
"ሱ","su"
"ሲ","si"
"ሳ","sā"
"ሴ","sé"
"ስ","s"
"ሶ","so"
"ሷ","swa"
"ሸ","ša"
"ሹ","šu"
"ሺ","ši"
"ሻ","šā"
"ሼ","šé"
"ሽ","š"
"ሾ","šo"
"ሿ","šwa"
"ቀ","qa"
"ቁ","qu"
"ቂ","qi"
"ቃ","qā"
"ቄ","qé"
"ቅ","q"
"ቆ","qo"
"ቈ","qwa"
"ቊ","qwu"
"ቋ","qwi"
"ቌ","qwā"
"ቍ","qwe"
"በ","ba"
"ቡ","bu"
"ቢ","bi"
"ባ","bā"
"ቤ","bé"
"ብ","b"
"ቦ","bo"
"ቧ","bwa"
"ቨ","va"
"ቩ","vu"
"ቪ","vi"
"ቫ","vā"
"ቬ","vé"
"ቭ","v"
"ቮ","vo"
"ቯ","vwa"
"ተ","ta"
"ቱ","tu"
"ቲ","ti"
"ታ","tā"
"ቴ","té"
"ት","t"
"ቶ","to"
"ቷ","twa"
"ቸ","ča"
"ቹ","ču"
"ቺ","či"
"ቻ","čā"
"ቼ","čé"
"ች","č"
"ቾ","čo"
"ቿ","čwa"
"ኀ","ẖa"
"ኁ","ẖu"
"ኂ","ẖi"
"ኃ","ẖā"
"ኄ","ẖé"
"ኅ","ẖ"
"ኆ","ẖo"
"ኈ","ẖwa"
"ኊ","ẖwi"
"ኋ","ẖwā"
"ኌ","ẖwé"
"ኍ","ẖwe"
"ነ","na"
"ኑ","nu"
"ኒ","ni"
"ና","nā"
"ኔ","né"
"ን","n"
"ኖ","no"
"ኗ","nwa"
"ኘ","ña"
"ኙ","ñu"
"ኚ","ñi"
"ኛ","ñā"
"ኜ","ñé"
"ኝ","ñ"
"ኞ","ño"
"ኟ","ñwa"
"አ","ʾa"
"ኡ","ʾu"
"ኢ","ʾi"
"ኣ","ʾā"
"ኤ","ʾé"
"እ","ʾe"
"ኦ","ʾo"
"ኧ","ă"
"ከ","ka"
"ኩ","ku"
"ኪ","ki"
"ካ","kā"
"ኬ","ké"
"ክ","k"
"ኮ","ko"
"ኰ","kwa"
"ኲ","kwi"
"ኳ","kwā"
"ኴ","kwé"
"ኵ","kwe"
"ኸ","xa"
"ኹ","xu"
"ኺ","xi"
"ኻ","xā"
"ኼ","xé"
"ኽ","x"
"ኾ","xo"
"ወ","wa"
"ዉ","wu"
"ዊ","wi"
"ዋ","wā"
"ዌ","wé"
"ው","w"
"ዎ","wo"
"ዐ","ʻa"
"ዑ","ʻu"
"ዒ","ʻi"
"ዓ","ʻā"
"ዔ","ʻé"
"ዕ","ʻe"
"ዖ","ʻo"
"ዘ","za"
"ዙ","zu"
"ዚ","zi"
"ዛ","zā"
"ዜ","zé"
"ዝ","z"
"ዞ","zo"
"ዟ","zwa"
"ዠ","ža"
"ዡ","žu"
"ዢ","ži"
"ዣ","žā"
"ዤ","žé"
"ዥ","ž"
"ዦ","žo"
"ዧ","žwa"
"የ","ya"
"ዩ","yu"
"ዪ","yi"
"ያ","yā"
"ዬ","yé"
"ይ","y"
"ዮ","yo"
"ደ","da"
"ዱ","du"
"ዲ","di"
"ዳ","dā"
"ዴ","dé"
"ድ","d"
"ዶ","do"
"ዷ","dwa"
"ጀ","ǧa"
"ጁ","ǧu"
"ጂ","ǧi"
"ጃ","ǧā"
"ጄ","ǧé"
"ጅ","ǧ"
"ጆ","ǧo"
"ጇ","ǧwa"
"ገ","ga"
"ጉ","gu"
"ጊ","gi"
"ጋ","gā"
"ጌ","gé"
"ግ","g"
"ጎ","go"
"ጐ","gwa"
"ጒ","gwi"
"ጓ","gwā"
"ጔ","gwé"
"ጕ","gwe"
"ጠ","ṭa"
"ጡ","ṭu"
"ጢ","ṭi"
"ጣ","ṭā"
"ጤ","ṭé"
"ጥ","ṭ"
"ጦ","ṭo"
"ጧ","ṭwā"
"ጨ","ċa"
"ጩ","ċu"
"ጪ","ċi"
"ጫ","ċā"
"ጬ","ċé"
"ጭ","ċ"
"ጮ","ċo"
"ጯ","ċwā"
"ጰ","p̣a"
"ጱ","p̣u"
"ጲ","p̣i"
"ጳ","p̣ā"
"ጴ","p̣é"
"ጵ","p̣"
"ጶ","p̣o"
"ጷ","p̣wa"
"ጸ","ṣa"
"ጹ","ṣu"
"ጺ","ṣi"
"ጻ","ṣā"
"ጼ","ṣé"
"ጽ","ṣ"
"ጾ","ṣo"
"ጿ","ṣwā"
"ፀ","ṡa"
"ፁ","ṡu"
"ፂ","ṡi"
"ፃ","ṡā"
"ፄ","ṡé"
"ፅ","ṡ"
"ፆ","ṡo"
"ፈ","fa"
"ፉ","fu"
"ፊ","fi"
"ፋ","fā"
"ፌ","fé"
"ፍ","f"
"ፎ","fo"
"ፏ","fwā"
"ፐ","pa"
"ፑ","pu"
"ፒ","pi"
"ፓ","pā"
"ፔ","pé"
"ፕ","p"
"ፖ","po"
"ፗ","pwa"
"።","."
"፡፡","."
"፤",";"
"፥",":"
"፣",","
"፧","."
"፩","1"
"፪","2"
"፫","3"
"፬","4"
"፭","5"
"፮","6"
"፯","7"
"፰","8"
"፱","9"
"፲","10"
"፳","20"
"፴","30"
"፵","40"
"፶","50"
"፷","60"
"፸","70"
"፹","80"
"፺","90"
"፻","100"
